2026-04-04 16:05:37 | INFO     | Backtester           | RAPPORT DE BACKTESTING : AAPL
2026-04-04 16:05:37 | INFO     | Backtester           | ============================================================
2026-04-04 16:05:37 | INFO     | Backtester           |   symbol                : AAPL
2026-04-04 16:05:37 | INFO     | Backtester           |   période               : 2025-12-02 → 2026-04-03
2026-04-04 16:05:37 | INFO     | Backtester           |   capital_initial       : 100,000$
2026-04-04 16:05:37 | INFO     | Backtester           |   capital_final         : 100,000$
2026-04-04 16:05:37 | INFO     | Backtester           |   rendement_total       : +0.0%
2026-04-04 16:05:37 | INFO     | Backtester           |   sharpe_ratio          : 0.0
2026-04-04 16:05:37 | INFO     | Backtester           |   sortino_ratio         : -50.0
2026-04-04 16:05:37 | INFO     | Backtester           |   max_drawdown          : 0.0%
2026-04-04 16:05:37 | INFO     | Backtester           |   volatilité            : 0.0%
2026-04-04 16:05:37 | INFO     | Backtester           |   cagr                  : 0.0%
2026-04-04 16:05:37 | INFO     | Backtester           |   total_trades          : 0
2026-04-04 16:05:37 | INFO     | Backtester           |   win_rate              : 0.0%
2026-04-04 16:05:37 | INFO     | Backtester           |   profit_factor         : 0.0
2026-04-04 16:05:37 | INFO     | Backtester           |   benchmark             : +8.2%
2026-04-04 16:05:37 | INFO     | Backtester           |   alpha                 : -8.2%
2026-04-04 16:05:37 | INFO     | Backtester           | ============================================================
2026-04-04 16:05:37 | INFO     | Backtester           |   CRITÈRES RÉUSSIS (1/4) :
2026-04-04 16:05:37 | INFO     | Backtester           |     ✓ MaxDD ≥ -20% (0.0%)
2026-04-04 16:05:37 | INFO     | Backtester           |     ✗ Sharpe ≥ 1.0 (0.00)
2026-04-04 16:05:37 | INFO     | Backtester           |     ✗ Win Rate ≥ 50% (0.0%)
2026-04-04 16:05:37 | INFO     | Backtester           |     ✗ Profit Factor ≥ 1.5 (0.00)
2026-04-04 16:05:37 | INFO     | Backtester           | ============================================================
2026-04-04 16:05:37 | INFO     | Backtester           | Résultats sauvegardés : results/AAPL_backtest.json
2026-04-04 16:05:37 | INFO     | Backtester           | Démarrage du backtesting : BTC-USD
2026-04-04 16:05:37 | INFO     | Backtester           | Période : 2025-12-02 → 2026-04-03
2026-04-04 16:05:37 | INFO     | Backtester           | ============================================================
2026-04-04 16:05:37 | INFO     | Backtester           | RAPPORT DE BACKTESTING : BTC-USD
2026-04-04 16:05:37 | INFO     | Backtester           | ============================================================
2026-04-04 16:05:37 | INFO     | Backtester           |   symbol                : BTC-USD
2026-04-04 16:05:37 | INFO     | Backtester           |   période               : 2025-12-02 → 2026-04-03
2026-04-04 16:05:37 | INFO     | Backtester           |   capital_initial       : 100,000$
2026-04-04 16:05:37 | INFO     | Backtester           |   capital_final         : 100,000$
2026-04-04 16:05:37 | INFO     | Backtester           |   rendement_total       : +0.0%
2026-04-04 16:05:37 | INFO     | Backtester           |   sharpe_ratio          : 0.0
2026-04-04 16:05:37 | INFO     | Backtester           |   sortino_ratio         : -50.0
2026-04-04 16:05:37 | INFO     | Backtester           |   max_drawdown          : 0.0%
2026-04-04 16:05:37 | INFO     | Backtester           |   volatilité            : 0.0%
2026-04-04 16:05:37 | INFO     | Backtester           |   cagr                  : 0.0%
2026-04-04 16:05:37 | INFO     | Backtester           |   total_trades          : 0
2026-04-04 16:05:37 | INFO     | Backtester           |   win_rate              : 0.0%
2026-04-04 16:05:37 | INFO     | Backtester           |   profit_factor         : 0.0
2026-04-04 16:05:37 | INFO     | Backtester           |   benchmark             : +33.3%
2026-04-04 16:05:37 | INFO     | Backtester           |   alpha                 : -33.3%
2026-04-04 16:05:37 | INFO     | Backtester           | ============================================================
2026-04-04 16:05:37 | INFO     | Backtester           |   CRITÈRES RÉUSSIS (1/4) :
2026-04-04 16:05:37 | INFO     | Backtester           |     ✓ MaxDD ≥ -20% (0.0%)
2026-04-04 16:05:37 | INFO     | Backtester           |     ✗ Sharpe ≥ 1.0 (0.00)
2026-04-04 16:05:37 | INFO     | Backtester           |     ✗ Win Rate ≥ 50% (0.0%)
2026-04-04 16:05:37 | INFO     | Backtester           |     ✗ Profit Factor ≥ 1.5 (0.00)
2026-04-04 16:05:37 | INFO     | Backtester           | ============================================================
2026-04-04 16:05:37 | INFO     | Backtester           | Résultats sauvegardés : results/BTC-USD_backtest.json
2026-04-04 16:05:37 | INFO     | Backtester           | Démarrage du backtesting : GC=F
2026-04-04 16:05:37 | INFO     | Backtester           | Période : 2025-12-02 → 2026-04-03
2026-04-04 16:05:37 | INFO     | Backtester           | ============================================================
2026-04-04 16:05:37 | INFO     | Backtester           | RAPPORT DE BACKTESTING : GC=F
2026-04-04 16:05:37 | INFO     | Backtester           | ============================================================
2026-04-04 16:05:37 | INFO     | Backtester           |   symbol                : GC=F
2026-04-04 16:05:37 | INFO     | Backtester           |   période               : 2025-12-02 → 2026-04-03
2026-04-04 16:05:37 | INFO     | Backtester           |   capital_initial       : 100,000$
2026-04-04 16:05:37 | INFO     | Backtester           |   capital_final         : 100,000$
2026-04-04 16:05:37 | INFO     | Backtester           |   rendement_total       : +0.0%
2026-04-04 16:05:37 | INFO     | Backtester           |   sharpe_ratio          : 0.0
2026-04-04 16:05:37 | INFO     | Backtester           |   sortino_ratio         : -50.0
2026-04-04 16:05:37 | INFO     | Backtester           |   max_drawdown          : 0.0%
2026-04-04 16:05:37 | INFO     | Backtester           |   volatilité            : 0.0%
2026-04-04 16:05:37 | INFO     | Backtester           |   cagr                  : 0.0%
2026-04-04 16:05:37 | INFO     | Backtester           |   total_trades          : 0
2026-04-04 16:05:37 | INFO     | Backtester           |   win_rate              : 0.0%
2026-04-04 16:05:37 | INFO     | Backtester           |   profit_factor         : 0.0
2026-04-04 16:05:37 | INFO     | Backtester           |   benchmark             : +3.7%
2026-04-04 16:05:37 | INFO     | Backtester           |   alpha                 : -3.7%
2026-04-04 16:05:37 | INFO     | Backtester           | ============================================================
2026-04-04 16:05:37 | INFO     | Backtester           |   CRITÈRES RÉUSSIS (1/4) :
2026-04-04 16:05:37 | INFO     | Backtester           |     ✓ MaxDD ≥ -20% (0.0%)
2026-04-04 16:05:37 | INFO     | Backtester           |     ✗ Sharpe ≥ 1.0 (0.00)
2026-04-04 16:05:37 | INFO     | Backtester           |     ✗ Win Rate ≥ 50% (0.0%)
2026-04-04 16:05:37 | INFO     | Backtester           |     ✗ Profit Factor ≥ 1.5 (0.00)
2026-04-04 16:05:37 | INFO     | Backtester           | ============================================================
2026-04-04 16:05:37 | INFO     | Backtester           | Résultats sauvegardés : results/GC=F_backtest.json
2026-04-04 16:06:52 | INFO     | DataCollector        | DataCollector initialisé | Cache : data/cache
2026-04-04 16:06:52 | INFO     | DataCollector        | Téléchargement de AAPL depuis Yahoo Finance...
2026-04-04 16:06:52 | ERROR    | DataCollector        |   → AAPL : Erreur de téléchargement : Failed to perform, curl: (56) CONNECT tunnel failed, response 403. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.
2026-04-04 16:06:52 | INFO     | DataCollector        | Téléchargement de BTC-USD depuis Yahoo Finance...
2026-04-04 16:06:52 | ERROR    | DataCollector        |   → BTC-USD : Erreur de téléchargement : Failed to perform, curl: (56) CONNECT tunnel failed, response 403. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.
2026-04-04 16:06:52 | INFO     | DataCollector        | Téléchargement de GC=F depuis Yahoo Finance...
2026-04-04 16:06:52 | WARNING  | DataCollector        |   → GC=F : aucune donnée reçue (symbole invalide ?)
